id,title,country
1,Film & Animation,DE
2,Autos & Vehicles,DE
10,Music,DE
15,Pets & Animals,DE
17,Sports,DE
18,Short Movies,DE
19,Travel & Events,DE
20,Gaming,DE
21,Videoblogging,DE
22,People & Blogs,DE
23,Comedy,DE
24,Entertainment,DE
25,News & Politics,DE
26,Howto & Style,DE
27,Education,DE
28,Science & Technology,DE
30,Movies,DE
31,Anime/Animation,DE
32,Action/Adventure,DE
33,Classics,DE
34,Comedy,DE
35,Documentary,DE
36,Drama,DE
37,Family,DE
38,Foreign,DE
39,Horror,DE
40,Sci-Fi/Fantasy,DE
41,Thriller,DE
42,Shorts,DE
43,Shows,DE
44,Trailers,DE
